title,abstract,doi
Automatic Time-Domain Velocity Estimation Based On An Accelerated Clustering Method,"Time-domain velocity and moveout parameters can be directly obtained from local event slopes, which are estimated on the prestack seismic gathers. In practice, there are always some errors in the estimated local slopes, especially in low signal-to-noise ratio (S/N) situations. Thus, subsurface velocity information may be hidden in the image domain spanned by velocity and other moveout parameters. We have developed an accelerated clustering algorithm to find cluster centers without prior information about the number of clusters. First, plane-wave destruction is implemented to estimate the local event slopes. For every sample in the seismic gathers, we obtain the estimations of velocity and its location in the image domain, according to the local event slopes. These mapped data points in the new domain exhibit the structure of groups. We represent these points by a mixture distribution model. Then, the cluster centers of the mixture distribution model are located, which correspond to maximum likelihood velocities of the main subsurface structures. Approximate velocity uncertainties bounds are used to select centers corresponding to reflections. Finally, interpolation is performed on the clustered unevenly sampled knot velocities to build the effective velocity model on regular grids. With synthetic and field data examples, we have determined that the proposed automatic velocity estimation method can give a stacking velocity model and a time migration velocity model with relatively high accuracy.",10.1190/geo2015-0313.1
A Monte Carlo Approach To The Joint Estimation Of Reservoir And Elastic Parameters From Seismic Amplitudes,"Inversion of seismic data and quantification of reservoir properties, such as porosity, lithology, or fluid saturation, are commonly executed in two consecutive steps: a geophysical inversion to estimate the elastic parameters and a petrophysical inversion to estimate the reservoir properties. We combine within an integrated formulation the geophysical and petrophysical components of the problem to estimate the elastic and reservoir properties jointly. We solve the inverse problem following a Monte Carlo sampling approach, which allows us to quantify the uncertainties of the reservoir estimates accounting for the combination of geophysical data uncertainties, the deviations of the elastic properties from the calibrated petrophysical transform, and the nonlinearity of the geophysical and petrophysical relations. We implement this method for the inference of the total porosity and the acoustic impedance in a reservoir area, combining petrophysical and seismic information. In our formulation, the porosity and impedance are related with a statistical model based on the Wyllie transform calibrated to well-log data. We simulate the seismic data using a convolutional model and evaluate the geophysical likelihood of the joint porosity-impedance models. Applying the Monte Carlo sampling method, we generate a large number of realizations that jointly explain the seismic observations and honor the petrophysical information. This approach allows the calculation of marginal probabilities of the model parameters, including medium porosity, impedance, and seismic source wavelet. We show a synthetic validation of the technique and apply the method to data from an eastern Venezuelan hydrocarbon reservoir, satisfactorily predicting the medium stratification and adequate correlation between the seismic inversion and well-log estimates for total porosity and acoustic impedance.",10.1190/1.2783766
Critical Porosity And Elastic Properties Of Microporous Mixed Carbonate-Siliciclastic Rocks,"By integrating elastic-property measurements and quantitative mineralogic and petrographic analyses of 45 mixed carbonate-siliciclastic samples from two wells drilled in Late Cretaceous rock of the South Provence Basin (southeast France), we can (1) identify and quantify the parameters controlling elastic properties; (2) demonstrate that micrite can be considered as a porous medium with a low critical porosity, averaging 18%; and (3) relate diagenetic transformations, pore-structure modifications, and elastic-property changes. Microporous carbonates with compact anhedral and euhedral microrhombic micrites display a steeper decrease in compressional and shear velocities with increasing porosity than do carbonate rocks with moldic, intergranular, or intercrystalline macroporosity. The low value of critical porosity estimated in micrites (18%), as well as the steep slopes of velocity-porosity relationships at low porosity, is believed to result from a pore-network geometry characterized by very flat, thin pores bounded by planar faces of micrite crystals. Cementation of microrhombic micrite steeply increases elastic moduli, whereas dissolution processes significantly increase porosity with low variations of elastic moduli. Thus, critical-porosity concepts can help describe and model elastic properties of micritic microporous carbonate.",10.1190/1.3043727
Principle Of Reverse‐Time Migration,"At the Migration Research Workshop of the 52nd SEG Meeting in Dallas (1982), an elegant method of wave‐equation migration, known as reverse‐time migration, was presented by Whitmore. Shortly thereafter McMechan (1982, 1983) and Baysal (1982) described virtually identical approaches to migration. This, along with further development by Baysal et al (1983a,b) and Whitmore (1983), has sparked much interest and discussion. In May 1983, Loewenthal and Mufti also published a migration algorithm, quite different from the above, that they call ""reversed time migration"" and developed as early as 1977. In this short note I present a general principle underlying reverse‐time migration and discuss the various reverse‐time migration procedures in light of it.",10.1190/1.1441693
Seismograph Evidence On The Depth Of The Salt In Southern Mississippi,"Reflection seismograph records shot over the tops of shallow salt domes in Southern Mississippi show deep events which can reasonably be identified as reflections from the base of the salt. Calculations reveal the depth to the bottom of the salt mass to be approximately 22,000 to 26,000 feet.",10.1190/1.1445025
The Gulf Seismic Profile Printer,"A seismic recording system has been developed in which seismic sections, printed photographically in variable‐density form, simulate geologic cross‐sections. The seismic signals recorded from geophone stations arranged for continuous reflection center‐point control are presented in a sequence of vertical tracks. The tracks are adjusted for known corrections and reproduced at a selected horizontal scale. Prints of the variable‐density section exhibit all events and their interrelationships for ready recognition and appraisal. The printer mechanism reduces seismic information to a uniform time basis, with weathering and elevation corrections to datum, and with stepout corrections in which account is taken of changing wave‐front velocity with vertical travel‐path time. The original field records comprise variable‐density tracks on strips of 70‐mm film. In the printer, individual record tracks are successively scanned and transferred to a continuous sheet of film by contact printing. Punched cards supply correction data to mechanisms which displace each record track according to the desired corrections. Normal and special printing functions are automatically performed.",10.1190/1.1438361
Letter To The Editor: Utilization Of S.P. Data In Evaluating Velocity Functions,"The paper ""A Velocity Function In cluding Lithologic Variation"" (Geophysics, Vol. 18, pp. 271-288, 1953) suggested that a specific velocity function should be of the form of Equation (11) of that paper. The penultimate paragraph mentioned that a suggestion offered by D r. L. de Witte might be useful in evalu ting equation (II).",10.1190/1.18040001.1
High-Resolution Coherency Functionals For Velocity Analysis: An Application For Subbasalt Seismic Exploration,"We tested the properties of three different coherency functionals for the velocity analysis of seismic data relative to subbasalt exploration. We evaluated the performance of the standard semblance algorithm and two high-resolution coherency functionals based on the use of analytic signals and of the covariance estimation along hyperbolic traveltime trajectories. Approximate knowledge of the wavelet was exploited to design appropriate filters that matched the primary reflections, thereby further improving the ability of the functionals to highlight the events of interest. The tests were carried out on two synthetic seismograms computed on models reproducing the geologic setting of basaltic intrusions and on common midpoint gathers from a 3D survey. Synthetic and field data had a very low signal-to-noise ratio, strong multiple contamination, and weak primary subbasalt signals. The results revealed that high-resolution coherency functionals were more suitable than semblance algorithms to detect primary signals and to distinguish them from multiples and other interfering events. This early discrimination between primaries and multiples could help to target specific signal enhancement and demultiple operations.",10.1190/geo2012-0544.1
Viscous Deformation Of Unconsolidated Reservoir Sands—Part 2: Linear Viscoelastic Models,"Laboratory creep experiments show that dry unconsolidated reservoir sands follow a power law function of time (at constant stress), and cyclic loading tests (at quasi‐static frequencies of 10−6 to 10−2 Hz) show that the bulk modulus increases by a factor of two with increasing frequency while attenuation remains constant. In this paper, we attempt to model these observations using linear viscoelasticity theory by considering several simple phenomenological models. We investigated two classes of models: spring‐dashpot models, which are represented by exponential functions with a single relaxation time, and power law models. Although almost all of the models considered were capable of fitting the creep data with time, they result in very different predictions of attenuation and bulk modulus dispersion. We used the model parameters derived from fitting the creep strain to predict the bulk modulus dispersion and attenuation as a function of frequency, to find a single phenomenological model (and model parameters) that could explain the material's creep response with time as well as its dispersion and attenuation characteristics. Spring‐dashpot models, such as the Burgers and standard linear solid models, produce reasonable fits to the creep strain and bulk modulus dispersion data, but do not reproduce the attenuation data. We find that a combined power law–Maxwell creep model adequately fits all of the data. Extrapolating the power law–Maxwell creep model out to 30 years (to simulate the lifetime of a reservoir) predicts that the static bulk modulus is only 25% of the dynamic modulus. Including the instantaneous component of deformation into the previous prediction results in 2% total vertical strain at the wellbore, in good agreement with field observations.",10.1190/1.1759460
"Frequency‐Domain Acoustic‐Wave Modeling And Inversion Of Crosshole Data: Part Ii—Inversion Method, Synthetic Experiments And Real‐Data Results","In full‐wave inversion of seismic data in complex media it is desirable to use finite differences or finite elements for the forward modeling, but such methods are still prohibitively expensive when implemented in 3-D. Full‐wave 2-D inversion schemes are of limited utility even in 2-D media because they do not model 3-D dynamics correctly. Many seismic experiments effectively assume that the geology varies in two dimensions only but generate 3-D (point source) wavefields; that is, they are ""two‐and‐one‐half‐dimensional"" (2.5-D), and this configuration can be exploited to model 3-D propagation efficiently in such media. We propose a frequency domain full‐wave inversion algorithm which uses a 2.5-D finite difference forward modeling method. The calculated seismogram can be compared directly with real data, which allows the inversion to be iterated. We use a descents‐related method to minimize a least‐squares measure of the wavefield mismatch at the receivers. The acute nonlinearity caused by phase‐wrapping, which corresponds to time‐domain cycle‐skipping, is avoided by the strategy of either starting the inversion using a low frequency component of the data or constructing a starting model using traveltime tomography. The inversion proceeds by stages at successively higher frequencies across the observed bandwidth. The frequency domain is particularly efficient for crosshole configurations and also allows easy incorporation of attenuation, via complex velocities, in both forward modeling and inversion. This also requires the introduction of complex source amplitudes into the inversion as additional unknowns. Synthetic studies show that the iterative scheme enables us to achieve the theoretical maximum resolution for the velocity reconstruction and that strongly attenuative zones can be recovered with reasonable accuracy. Preliminary results from the application of the method to a real data set are also encouraging.",10.1190/1.1443818
Localization And Backscattering Spectrum Of Seismic Waves In Stratified Lithology,"Using four sonic well logs from diverse geological environments, we analyze the statistics of lithological layers relevant to seismic wave propagation. The autocorrelation functions are found to be well approximated by exponentials with correlation lengths generally in the 1.5 to 3 m range. We use localization theory to calculate the apparent attenuation caused by random scattering as a function of frequency. This attenuation has a peak at 50 to 150 Hz with a corresponding localization length of 1.6 to 4.8 km (1 to 3 mi) and an apparent Q of 120 to 450. At seismic frequencies (20 Hz) the attenuation is smaller, with localization lengths in the 16 to 32 km (10 to 20 mi) range and an apparent Q of 300 to 700. These values of apparent Q are consistent with observations of previous authors who used well‐log calculations. Using finite differences we compute synthetic traces for a 20-Hz pulse with multiple backscattering from the lithology given by each of the well logs. The power spectral density of the trace is computed for different time gates and compared with theoretical predictions. The nonwhite, f2 dependence of the spectrum as predicted by theory is confirmed. Furthermore, when plotted as a function of the scaled variable inversely proportional to the localization length, the average of the four power spectra exhibits excellent agreement with the dimensionless scaling function derived using localization theory.",10.1190/1.1442932
A Generalized Multibody Model For Inversion Of Magnetic Anomalies,"The height of the observation surface above a magnetized region primarily determines the critical dimension of the smallest inhomogeneity in magnetization that can be resolved from magnetic survey data. When a rectangular block is smaller in size than this critical dimension, it appears homogeneously magnetized in the observed magnetic field. This consideration leads to the selection of a unit rectangular block of suitable dimensions with homogeneous magnetization. The magnetized region creating the anomalous field values in the area of observation can, therefore, be broken up into several blocks having different magnetizations, each block being equal in size  and uniformly magnetized. The iterative method described here assumes initially that the anomalous field values are caused by a three‐dimensional (3-D) distribution of magnetized rectangular blocks. The optimum orientation of these blocks with respect to geographic north is then determined. This orientation is particularly insensitive to adjustments in the dimensions of the blocks. The top and bottom surfaces of each of the blocks in one or more layers are adjusted in a least‐squares sense to minimize the difference between observed and calculated field values. A method is also described for constraining the magnetization vector of each block to lie within a specified angle of the normal or reversed direction of the geomagnetic field vector. The procedure for analysis of data can also be extended to the case of anomalies over a draped surface. At the conclusion of the iterations, a 3-D distribution of magnetization is generated to delineate the magnetized region responsible for the observed anomalous magnetic field. Examples including model and aeromagnetic data are provided to demonstrate the usefulness of a generalized multibody model for inversion of magnetic anomalies.",10.1190/1.1441081
The Poulter Seismic Method Of Geophysical Exploration,The Poulter seismic method is outlined and an analysis is made of the frequency distribution of seismic energy from different sources. The effect of different sources upon the directivity of the energy in the ground and the improvement that can be obtained in signal‐to‐noise ratio is discussed. Three different methods are described for controlling the frequency of the seismic impulses being introduced into the ground and the resulting improvement in the quality of records is illustrated. The almost complete elimination of multiple reflections by the method is indicated.,10.1190/1.1437589
Toward Phenomenological Universality Of The Mechanical Behavior Of Arbitrarily Anisotropic Porous Rocks,"The great diversity of the microstructures of rocks impedes the use of a universal rock physics model with idealized geometry to correctly describe the mechanical behavior of rocks. In this quest for universality, by ignoring the detailed description of the causes of the observed phenomenon and only focusing on the empirical relation between the cause (applied stress) and the effect (resulting strain), phenomenological models such as the linear elastic Hooke's law roughly describe the mechanical behavior of rocks of contrasted microstructures. However, in detail, numerous laboratory experiments covering broad frequency and strain ranges (both typically more than eight orders of magnitude) on various types of rocks have also shown deviations from Hooke's law due to anisotropy, frequency dependence, nonlinearity, possibly with the presence of hysteresis, and poroelasticity. A phenomenological model has been recently proposed that synthesizes all these behaviors in a single model, but unfortunately does not integrate the porous nature of rocks. The new model is based on a reformulation in modified spectral decomposition of the previous work using the 7D poroelastic tensor linking the dynamic parameters (i.e., the six stress components and fluid pressure) and the kinematic parameters (i.e., the six strain components and the local increase of fluid content ζ). In addition to the elastic hysteresis of the stress-strain curves, the model also predicts the existence of a second hysteresis, or hydraulic hysteresis, of the curve fluid pressure p versus fluid content ζ, qualitatively similar to the first one. Indeed, the elastic hysteresis is due to the opening and the closure of some compliant pores at different stress levels. These pores represent possible access radii for the saturating fluid; the hysteresis in the geometry of the porous network also induces the hydraulic hysteresis in the p-ζ curves.",10.1190/1.3560166
Twelve Years Of Vertical Birefringence In Nine‐Component Vsp Data,"Since 1986, when industry scientists first publicly showed data supporting the presence of azimuthal anisotropy in sedimentary rock, we have studied vertical shear‐wave (S-wave) birefringence in 23 different wells in western North America. The data were from nine‐component vertical seismic profiles (VSPs) supplemented in recent years with data from wireline crossed‐dipole logs. This paper summarizes our results, including birefringence results in tabular form for 54 depth intervals in 19 of those 23 wells. In the Appendix we present our conclusions about how to record VSP data optimally for study of vertical birefringence. We arrived at four principal conclusions about vertical S-wave birefringence. First, birefringence was common but not universal. Second, birefringence ranged from 0–21%, but values larger than 4% occurred only in shallow formations (1200 m) within 40 km of California's San Andreas fault. Third, at large scales birefringence tended to be blocky. That is, both the birefringence magnitude and the S-wave polarization azimuth were often consistent over depth intervals of several tens to hundreds of meters but then changed abruptly, sometimes by large amounts. Birefringence in some instances diminished with depth and in others increased with depth, but in almost every case a layer near the surface was more birefringent than the layer immediately below it. Fourth, observed birefringence patterns generally do not encourage use of multicomponent surface reflection seismic data for finding fractured hydrocarbon reservoirs, but they do encourage use of crossed‐dipole logs to examine them. That is, most reservoirs were birefringent, but none we studied showed increased birefringence confined to the reservoir.",10.1190/1.1444950
Electrical Nonlinear Phenomena In Rocks,"Evidence is presented in this paper on the electrical nonlinear phenomena occurring above a certain charge density at the electrode plates (critical charge density, qcr) for a serpentinite sample with dry electrode contact and a galena sample using moist electrode contact. The critical charge density for the serpentinite sample is 10-8 Coulombs/cm2. In terms of critical current density, it is 3.1×10-10amp/cm2 at 10-2 hz, or 3.1×10-7amp/cm2 at 10 hz. The galena sample shows two critical charge densities, where one is 6.0×10-7Coulombs/cm2 and the other is 8.0×10-5Coulombs/cm2. In terms of critical current density, it is 1.9×10-8amp/cm2 at 10-2 hz, or 1.9×10-5amp/cm2 at 10 hz for the first critical charge. The concept of ""critical charge and nonlinearity"" is similar to that of ""decomposition voltage"" of electrodes immersed in an electrolyte. The decomposition voltage is a characteristic of conductors immersed in liquids, and it varies according to the type of conductor. It is thus possible that the nonlinear study of minerals could form a basis of a new geophysical technique, especially in borehole logging, for detecting not only the existence, but also the type, of minerals in the ground.",10.1190/1.1440323
Joint Inversion Of Em And Magnetic Data For Near‐Surface Studies,"Magnetic and electromagnetic measurements are influenced by magnetic susceptibility and, thus, are widely used in geophysical surveys for archeology or pedology. To date, the data inversion is performed separately. A filtering process incorporating both types of data is presented here. After testing the algorithm with synthetic data, the algorithm is used in several case studies in archeological prospecting. This approach presents two advantages: establishing the presence of remanent magnetizations (viscous or thermoremanent), and achieving more refined depth analysis of the anomaly.",10.1190/1.1527074
Sh-Wave Propagation In Heterogeneous Media: Velocity‐Stress Finite‐Difference Method,"A new finite‐difference (FD) method is presented for modeling SH-wave propagation in a generally heterogeneous medium. This method uses both velocity and stress in a discrete grid. Density and shear modulus are similarly discretized, avoiding any spatial smoothing. Therefore, boundaries will be correctly modeled under an implicit formulation. Standard problems (quarter‐plane propagation, sedimentary basin propagation) are studied to compare this method with other methods. Finally a more complex example (a salt dome inside a two‐layered medium) shows the effect of lateral propagation on seismograms recorded at the surface. A corner wave, always in‐phase with the incident wave, and a head wave will appear, which will pose severe problems of interpretation with the usual vertical migration methods.",10.1190/1.1441605
"Structural Uncertainties: Determination, Management, And Applications",Our scheme generates many equiprobable realizations of the structural model provided that each source of uncertainty has been described in terms of magnitude direction and correlation length. These realizations may then be used to quantify risk in exploration development and drilling.,10.1190/1.1484528
Robust Modeling With Erratic Data,"An attractive alternative to least‐squares data modeling techniques is the use of absolute value error criteria. Unlike the least‐squares techniques the inclusion of some infinite blunders along with the data will hardly affect the solution to an otherwise well‐posed problem. An example of this great stability is seen when an average is, determined by using the median rather than the arithmetic mean. Algorithms for absolute error minimization are often approximately as costly as least‐squares algorithms; however, unlike least‐squares, they naturally lend themselves to inequality or bounding constraints on models.",10.1190/1.1440378
Using Homotopy To Invert Geophysical Data,"Homotopy is a powerful tool for solving nonlinear equations. It is used here to solve small‐dimensional geophysical inverse problems by locating the solutions of the governing normal equations. An Euler‐Newton numerical continuation scheme is used to map trajectories in model space that start from a prescribed solution to a trivial set of equations and terminate at a solution to the inverse problem. The trajectories often map out a continuum of equivalent solutions that are caused by model equivalences or overparameterization. This allows exploration of the solution space topology. The homotopy method, in this application, is relatively insensitive to the choice of starting model. Several examples based on synthetic controlled‐source electromagnetic (CSEM) responses are shown to illustrate the method. An inversion of actual CSEM data from the Canadian Shield is also provided.",10.1190/1.1487117
Electrical Resistivity And Chemical Properties Of Kerogen Isolated From Organic-Rich Mudrocks,"Low electrical resistivity measurements in organic-rich mudrocks are commonplace in highly mature zones. These low resistivity values are usually difficult to justify and lead to overestimation of water saturation when using conventional resistivity-porosity-saturation models (e.g., dual water and Waxman-Smits). Previous publications suggest that the electrical conductivity of kerogen increases when it thermally matures. This increase in thermal maturity of kerogen might contribute to low resistivity measurements in organic-rich mudrocks. However, electrical properties of kerogen within these rocks have not yet been quantified experimentally. We have introduced a technique to quantify electrical resistivity of kerogen through combined experimental and numerical approaches and quantified electrical resistivity of kerogen samples from the Haynesville and Eagle Ford Formations. We first isolated kerogen from mudrock samples using physical and chemical treatments. The isolated kerogen powder was then compressed into a homogeneous disk. Then, we synthetically matured mudrock and kerogen samples to controlled maturity levels and measured the electrical resistivity and geochemical properties of each sample. The true electrical resistivity of kerogen was then estimated by minimizing the difference between the numerically simulated and measured electrical resistivity of the molded kerogen samples. We have observed a significant decrease in the electrical resistivity of kerogen isolated from the Haynesville (i.e., up to four orders of magnitude) and Eagle Ford (i.e., up to nine orders of magnitude) Formations upon heat treatment from 300°C to 800°C. The decrease in resistivity can be reasoned by the chemical transformations of organic matter through thermal maturation. The results of solid-state C13 nuclear magnetic resonance spectroscopy and transmission electron microscopy imaging confirmed increase in graphitization and aromaticity in the kerogen samples as thermal maturity increases. Our outcomes can potentially improve interpretation of electrical resistivity logs in organic-rich mudrocks, such as enhancing well-log-based assessment of in situ hydrocarbon saturation.",10.1190/geo2016-0071.1
On Ratio And Crossover Points In The Interpretation Of Refraction Profile Data,"In this note, mathematical expressions are developed for the coordinates of certain characteristic points which are easy to locate on the refraction segment of the time‐distance graph. The characteristic points are (1) intercept time, (2) critical point at which the reflection time equals the refraction time, and (3) crossover point at which the direct arrival time equals the refraction time. Any two of these are sufficient to determine the depth to a horizontal refractor as discussed by Nettleton (1940), Dobrin (1976), and Telford et al. (1976). Slotnick (1959) discussed the significance of the critical point. Considering the time‐distance relations for the case of two media with speeds V0 and V1 separated by a horizontal discontinuity at depth H, the slope of the time‐distance reflection hyperbola at the critical point is 1/V1. At this point, the emergence angle is equal to the critical angle for velocities V0 and V1. In other words, as one moves away from the shotpoint, the slope of the reflection hyperbola increases from zero to 1/V0 and passes through the value 1/V1 at the critical distance. The important result of Slotnick (1959) about the critical point has been further investigated, and useful relationships have been derived on the basis of it. When the refractor is inclined, the critical point can still be explained but it is difficult to locate. However, a ratio point may be used which lies on the segment obtained by joining intercept time and crossover point. The role of critical and ratio points is discussed in the interpretation of refraction profile data supported by exact mathematical expressions.",10.1190/1.1441928
Dynamic Time Warping — An Improved Method For 4D And Tomography Time Shift Estimation?,"Time shift estimation is a key issue in many areas of seismic exploration such as time-lapse studies and traveltime tomography. Automated estimation is useful because it enables applications such as time strain analysis and automated velocity model building. A commonly used automated estimation algorithm is the windowed crosscorrelation. Unfortunately, this method can be inaccurate in areas where time shifts vary significantly over short intervals. Algorithms based on mismatch minimization have been proposed to remedy this problem. All the mentioned methods suffer from cycle skipping in the face of large time shifts. I, therefore, used the dynamic time warping (DTW) algorithm as an alternative method to estimate time shifts. I claimed the time shift estimates produced by DTW are of higher quality than those produced by the previous methods, especially with regard to the cycle-skipping problem. I found that DTW always is able to perfectly restore time shifts applied to traces when the changes are purely temporal. I investigated its accuracy when amplitude changes are present, and found that the algorithm is well suited for time-lapse analysis. Finally, we determined that DTW is resilient against cycle-skipping errors, in the presence of large time shifts and with significant changes in the data, and thus a candidate for use in automated velocity model-building methods, such as waveform tomography or full-waveform inversion.",10.1190/geo2013-0239.1
Stop-Go Temperature Logging For Precision Applications,"We describe a new field procedure for stop-go temperature logging of boreholes that attains millikelvin precision. Temperature is recorded continuously throughout the entire log, but the logging probe is held stationary for a fixed time at discrete depth intervals. Equilibrium temperatures at the discrete depths are based on extrapolations of time series using the heat-diffusion theory for an infinitely long cylinder. For a Fenwahl K212E thermistor probe having a time constant of about   7 s  , temperatures are still   6 mK   away from equilibrium after a wait time of   30 s  ; but temperatures extrapolated from the time series are within   2 mK   of equilibrium. A time series over a duration of seven time constants of the probe allows the user to reproduce temperature estimates within millikelvins. The technique was applied at GC-1, a borehole in northwestern Utah.",10.1190/1.2734382
The Effect Of Spatial Variation In Surface Relaxivity On Nuclear Magnetic Resonance Relaxation Rates,"Nuclear magnetic resonance (NMR) relaxation measurements are sensitive to the physiochemical environment of water in saturated porous media and can provide information about the properties of geologic material. Interpretation of NMR data typically relies on three assumptions: that pores within the geologic material are effectively isolated such that the diffusion of a proton between pores is limited (i.e., there is weak coupling); that relaxation occurs in the fast-diffusion regime; and that surface relaxivity ρ2 is uniform throughout the measured volume. We investigated the effect of spatial variation in ρ2 on the NMR relaxation measurement and evaluated two equations relating ρ2 to the NMR relaxation rate for samples containing two types of surfaces, each with a different surface relaxivity. One equation was valid when there is weak diffusional coupling between pores, the other is valid when there is strong diffusional coupling. We prepared a suite of samples composed of quartz sand and an iron-coated quartz sand. NMR relaxation occurred in two distinct regions: the weak- and strong-coupling regions. In the weak-coupling region, the equation did not accurately represent the relationship between the two ρ2 values and the NMR relaxation rate, suggesting that further research is required to understand the effect of spatially variable ρ2 in this relaxation region. In the strong-coupling region, the equation accurately represented the relationship between the two values of ρ2 and the NMR relaxation rate. The results from these laboratory experiments represented a first step towards accounting for spatial variability in ρ2 in the interpretation of NMR data.",10.1190/geo2011-0462.1
Double-Difference Elastic-Waveform Inversion With Prior Information For Time-Lapse Monitoring,"Quantitative time-lapse seismic monitoring can provide crucial information for enhanced oil recovery, geologic carbon storage, and enhanced geothermal systems. Recently developed double-difference elastic-waveform inversion has the potential to quantitatively monitor reservoirs using seismic reflection data. Because the approximate location of a reservoir or a target monitoring region is usually known, we incorporated this knowledge as prior information into double-difference elastic-waveform inversion. Using numerical examples of synthetic time-lapse models, we found that our new method can quantitatively monitor the changes of elastic properties within reservoirs. Therefore, the double-difference elastic-waveform inversion with prior information on the location of a monitoring region is a promising tool for quantitatively monitoring reservoir properties' changes.",10.1190/geo2012-0527.1
A Tri‐Potential Method Of Resistivity Prospecting,"This paper describes a method whereby three resistances are measured for a four electrode configuration, and relations between these three resistances and their corresponding apparent resistivities are derived. The practical application of the resistance relation as a means of detecting observational and instrumental errors is indicated. The concept of apparent resistivity is examined and by means of examples it is shown that the apparent resistivity can take negative values. Finally, the possibility of using the triple resistivity method as a means of distinguishing between the effects of lateral and vertical resistivity changes on depth probes is discussed.",10.1190/1.1438247
Analytical Expressions For Gravity Anomalies Due To Homogeneous Polyhedral Bodies And Translations Into Magnetic Anomalies,"Complete analytical expressions for the first and second derivatives of the gravitational potential in arbitrary directions due to a homogeneous polyhedral body composed of polygonal facets are developed, by applying the divergence theorem definitively. Not only finite but also infinite rectangular prisms then are treated. The gravity anomalies due to a uniform polygon are similarly described in two dimensions. The magnetic potential due to a uniformly magnetized body is directly derived from the first derivative of the gravitational potential in a given direction. The rule for translating the second derivative of the gravitational potential into the magnetic field component is also described. The necessary procedures for practical computer programming are discussed in detail, in order to avoid singularities and to save computing time.",10.1190/1.1440973
Gravity Measurements In An Airplane Using State‐Of‐The‐Art Navigation And Altimetry,"In 1976 the U. S. Naval Oceanographic Office made experimental gravity measurements over the Atlantic in an airplane using a LaCoste and Romberg shipboard gravity meter, a Honeywell electrostatic gyro inertial system, a Rosemont pressure port altimeter, a Honeywell radar altimeter, Loran C and other electronic navigational aids. Preliminary results were reported at the 47th Annual International SEG Meeting in Calgary, Canada, in 1977. These preliminary results were compared with sea gravity data furnished by the Naval Oceanographic Office and were found to be in general agreement. However, there were some unexplained systematic errors of about 15 mgal and the airplane gravity profiles were considerably more noisy than helicopter gravity profiles reported by William Gumert (1977, personal communication). After the paper was given, we found that corrections for Schuler oscillations in the inertial system significantly reduced the systematic errors. We also found that by making full use of a half‐second sampling rate of the radar altimeter, we could make meaningful vertical acceleration corrections relative to sea level as well as relative to an atmospheric pressure surface. A comparison of the two corrections showed that variations in the isobaric surfaces were the main cause of the noise in the airplane gravity profiles. It also became apparent that the noise could be reduced by flying slower or making successive flights at different speeds.",10.1190/1.1441351
Direct Inversion Of Time‐Domain Electromagnetic Data,"This note describes a simple method for converting transient electromagnetic (EM) sounding data into profiles of conductivity versus depth, based on an approximate image representation for the decaying induced ground currents. The method can provide one‐dimensional (1-D) inversion for any kind of time‐domain EM sounding data; the discussion here is limited to the case of central‐loop sounding. In particular, I apply the inversion to some time‐derivative central‐loop sounding data and demonstrate that essentially the same interpretation of the geoelectric section is obtained with the simple image method as is obtained using traditional iterative least‐squares fitting to layered models. This simple inverse can be computed much more quickly than an iterative least‐squares inverse, making it possible to estimate the geoelectric section concomitant with data acquisition.",10.1190/1.1442256
"Geophysical Case History Of The Horse Creek Field, Laramie County, Wyoming","The Horse Creek field located in Laramie County, Wyoming, was discovered and developed by the General Petroleum Corporation following a reconnaissance gravity survey and preliminary and detail seismic surveys. The gravity survey, made during 1940, delineated a strong maximum gravity anomaly having a magnitude of about 5 mg. Limited seismic work was then conducted in the area during 1941 and 1942 and mapped a prominent anticline having some 2,000 ft of closure. In September, 1942, General Petroleum Corporation spudded in their No. 78-31-G well, located on the apex of the structure. This well was completed as the discovery for the field, producing from the lower Cretaceous‐Lakota sand. The second well, No. 74-6-P, was completed in April, 1943, as the lower Cretaceous‐Muddy sand discovery for the field. Further seismic work was done during 1944 and 1945 to detail and refine the structural picture. Subsequent drilling developed the Muddy sand as the primary producing zone in this field. A total of 32 producing wells has been drilled on this structure and to August, 1958, the total cumulative production from the field was 3,519,000 barrels of oil.",10.1190/1.1438740
The Tube Wave As A Biot Slow Wave,"The tube wave speed in a simple fluid‐filled circular bore reduces to vT=vf/(1+Kf/μ)1/2 as the frequency goes to zero, where vf=(Kf/ρf)1/2 is the acoustic sound speed in the fluid, ρf is the fluid density, Kf is the fluid bulk modulus, and μ is the formation shear modulus. Biot (1952) deduced this simple relation by considering the low‐frequency asymptotic expansion of the exact dispersion relation. In 1956, Biot proposed a theory (Biot, 1956a, b) that predicts a new type of compressional bulk wave in fluid‐saturated porous media. This ""slow wave"" is associated mainly with the motion of pore fluids. It appears that Biot never related this theory to his previous work on the bore problem, although the connection is apparent if the bore is considered as a pore. Typically, the bore radius is about 10 cm, while the relevant acoustic logging frequency is on the order of 1 kHz. With water as the bore fluid, the viscous skin depth is on the order of 100 μm. Therefore, if the bore is to be considered as a pore, the relevant form of Biot's theory is the limit in which the pore radius is large relative to the viscous skin depth of the fluid. This form is the high‐frequency limit, in which the effects of the fluid viscosity are negligible and the slow‐wave dissipation is relatively low.",10.1190/1.1442336
